date,average_glucose,median_glucose,min_glucose,max_glucose,reading_count
2021-02-21,158.69791666666666,153.83333333333331,68.0,228.0,288
2021-02-22,124.15972222222223,121.66666666666666,79.0,180.0,288
2021-02-23,153.80902777777777,152.0,75.0,216.0,288
2021-02-24,107.18402777777777,95.66666666666666,53.0,229.0,288
2021-02-25,169.86194534632034,148.33333333333331,89.0,245.0,288
2021-02-26,195.23180465367966,218.87662337662337,91.0,234.83116883116884,288
2021-02-27,125.77604166666667,119.16666666666666,61.0,222.0,288
2021-02-28,143.34722222222223,139.83333333333331,57.0,239.0,288
2021-03-01,118.58854166666667,124.0,55.0,165.0,288
2021-03-02,137.72048611111111,132.16666666666669,67.0,240.0,288
2021-03-03,144.64583333333334,152.0,56.0,234.0,288
2021-03-04,132.34895833333334,127.0,81.0,224.0,288
2021-03-05,160.01215277777777,133.0,66.0,286.0,288
2021-03-06,104.80208333333333,103.33333333333331,53.0,167.0,288
2021-03-07,191.79861111111111,206.66666666666663,55.0,284.0,288
2021-03-08,163.97395833333334,164.0,98.0,220.0,288
2021-03-09,156.73611111111111,157.83333333333331,63.0,231.0,288
2021-03-10,128.3125,127.66666666666669,100.0,198.0,288
2021-03-11,125.03125,108.83333333333334,68.0,210.0,288
2021-03-12,139.671875,136.83333333333331,68.0,217.0,288
2021-03-13,128.70833333333334,118.66666666666666,53.0,263.0,288
2021-03-14,146.09722222222223,123.83333333333334,53.0,295.0,288
2021-03-15,170.86631944444446,184.3333333333333,53.0,288.0,288
2021-03-16,142.69965277777777,133.5,65.0,231.0,288
2021-03-17,153.65625,150.33333333333334,75.0,246.0,288
2021-03-18,119.24652777777777,99.0,53.0,213.0,288
2021-03-19,176.48611111111111,165.83333333333331,93.0,294.0,288
2021-03-20,136.86284722222223,127.0,103.0,234.0,288
2021-03-21,135.64930555555554,140.33333333333334,69.0,187.0,288
2021-03-22,132.67013888888889,143.0,55.0,199.0,288
2021-03-23,118.10069444444444,106.0,50.0,190.66666666666663,288
2021-03-24,150.98042929292927,144.5,79.0,226.0,288
2021-03-25,110.5790807379349,112.33333333333331,79.0,133.0648148148148,288
2021-03-26,149.05333719135803,150.72685185185185,69.0,228.0,288
2021-03-27,113.515625,108.83333333333334,53.0,189.0,288
2021-03-28,113.29166666666667,103.0,53.0,207.0,288
2021-03-29,127.76736111111111,124.33333333333331,75.0,196.0,288
2021-03-30,112.06597222222223,107.0,68.0,176.0,288
2021-03-31,105.26736111111111,95.33333333333331,62.0,201.0,288
2021-04-01,181.05208333333334,181.83333333333331,77.0,248.0,288
2021-04-02,102.32465277777777,93.0,56.0,220.0,288
2021-04-03,128.61805555555554,117.83333333333334,54.0,224.0,288
2021-04-04,125.26388888888889,114.0,68.0,223.0,288
2021-04-05,121.55034722222223,106.66666666666666,64.0,213.0,288
2021-04-06,130.90104166666666,128.0,63.0,231.0,288
2021-04-07,114.33275462962963,108.83333333333334,80.0,165.0,288
2021-04-08,115.00752314814814,110.5,60.0,197.0,288
2021-04-09,159.94791666666666,154.83333333333331,62.0,253.0,288
2021-04-10,153.0,143.5,84.0,239.0,288
2021-04-11,103.56944444444444,97.5,53.0,225.0,288
2021-04-12,133.26041666666666,127.0,58.0,241.0,288
2021-04-13,127.80555555555556,127.66666666666666,53.0,196.0,288
2021-04-14,112.90972222222223,111.0,59.0,250.0,288
2021-04-15,131.78414351851853,128.5,55.0,243.0,288
2021-04-16,100.87037037037038,97.83333333333334,53.0,160.0,288
2021-04-17,100.09027777777777,93.33333333333334,53.0,179.0,288
2021-04-18,148.328125,145.5,55.0,291.0,288
2021-04-19,164.86805555555554,164.66666666666669,68.0,257.0,288
2021-04-20,146.30555555555554,138.66666666666669,80.0,232.0,288
2021-04-21,123.36111111111111,131.33333333333331,59.0,196.0,288
2021-04-22,151.67708333333334,159.83333333333331,54.0,209.0,288
2021-04-23,166.12847222222223,168.83333333333331,55.0,217.0,288
2021-04-24,128.10416666666666,125.0,59.0,219.0,288
2021-04-25,144.14409722222223,129.33333333333334,54.0,304.0,288
2021-04-26,168.85069444444446,165.16666666666669,92.0,243.0,288
2021-04-27,176.75347222222223,198.0,55.0,256.0,288
2021-04-28,112.38888888888889,107.66666666666669,59.0,197.0,288
